date,t2m_C_mean,rh2m_pct_mean,wind10m_ms_mean,rain_mm_day
1/1/2019,11.9,38.66,2.24,0
1/2/2019,13.33,41.2,2.05,0.026666665
1/3/2019,11.71,49.26,3.27,0
1/4/2019,11.29,52.46,2.18,0.2877083
1/5/2019,12.55,50.57,3.29,0.4958333
1/6/2019,11.96,64.55,2.59,2.1901042
1/7/2019,11.88,70.17,3.08,0.0103125
1/8/2019,12.31,58.6,3.24,0.07416666
1/9/2019,12.51,46.35,4.24,0
1/10/2019,13.12,41.62,2.75,0.0115625
1/11/2019,13.83,36.17,1.54,0.000520833
1/12/2019,14.61,36.69,1.2,0.0534375
1/13/2019,13.85,54.35,2.9,0.004791666
1/14/2019,11.55,39.92,4.98,0
1/15/2019,11.54,30.45,3.93,0.3358333
1/16/2019,13.67,29.46,1.53,0.23125
1/17/2019,12.75,31.99,2.43,0
1/18/2019,12.6,39.12,2.73,0.001458333
1/19/2019,15.13,36.44,2.31,0.17552082
1/20/2019,17.58,34.75,2.06,0.0090625
1/21/2019,16.23,46.87,5.18,27.862707
1/22/2019,13.63,77.77,3.31,5.0343747
1/23/2019,13.54,65.09,2.83,0
1/24/2019,13.74,57.71,2.88,1.4091667
1/25/2019,11.89,58.83,2.86,0
1/26/2019,9.91,54.79,3.03,0
1/27/2019,9.25,52.28,3.89,0.0003125
1/28/2019,9.28,46.52,4.16,0
1/29/2019,10.35,40.88,3.76,0.04552083
1/30/2019,11.5,38.59,2.29,0.13770832
1/31/2019,12.88,42.28,3.73,0.3809375
2/1/2019,12.87,51.56,2.47,0.058437496
2/2/2019,11.49,61.71,2.96,0
2/3/2019,12.82,54.83,2.58,0
2/4/2019,13.95,47.03,2.27,0
2/5/2019,16.69,49.75,2.75,0.014062499
2/6/2019,17.83,63.57,3.8,0.2559375
2/7/2019,16.25,71.38,4.02,8.993125
2/8/2019,12.16,50.51,2.9,0
2/9/2019,11.44,48.47,3.63,0
2/10/2019,12.91,43.28,2.04,0.03708333
2/11/2019,14.11,44.09,1.45,0.28895834
2/12/2019,15.01,43.7,1.8,0.50427085
