date,t2m_C_mean,rh2m_pct_mean,wind10m_ms_mean,rain_mm_day
1/1/2019,4.71,69.15,3.22,0.258
1/2/2019,4.53,76.47,4.35,0.005833333
1/3/2019,3.57,71.3,4.52,0.04216666
1/4/2019,4.36,73.61,2.77,0.63416654
1/5/2019,7.35,76.6,4.06,0.17433333
1/6/2019,3.44,71.37,4.52,0.0475
1/7/2019,3.91,70.56,3.97,0.09816667
1/8/2019,5.57,72.02,2.61,0.44000003
1/9/2019,2.72,73.42,5.84,0.011833333
1/10/2019,2.93,69.82,2.35,0.025833335
1/11/2019,5.08,71.69,5.08,0.22483332
1/12/2019,3.92,83.73,4.12,1.7176665
1/13/2019,5.24,79.78,4.64,0
1/14/2019,4.29,78.95,3.77,0.037499998
1/15/2019,5.76,87.99,2.95,0.4925
1/16/2019,6.37,73.51,5.12,0.08499999
1/17/2019,5.03,68.82,3.38,0.03983333
1/18/2019,3.61,66.15,5.83,0.037
1/19/2019,4.96,65.27,3.11,0.19716664
1/20/2019,6.22,80.24,3.67,0.34283334
1/21/2019,4.09,64.16,4.34,0.004
1/22/2019,3.88,72.47,4.15,0.119500004
1/23/2019,5.06,73.49,4.01,0
1/24/2019,3.87,66.42,6.37,0.258
1/25/2019,4.14,63.65,2.96,0.47133332
1/26/2019,3.11,73.49,6.2,0.29533333
1/27/2019,2.7,70.26,5.67,0.155
1/28/2019,5.67,69.27,5.27,0.1465
1/29/2019,3.94,65.31,7.19,0.036
1/30/2019,4.33,76.3,3.19,0.299
1/31/2019,5.39,83.54,3.92,19.370832
2/1/2019,1.88,70.05,6.31,0.001
2/2/2019,5.13,63.84,2.88,0.089
2/3/2019,7.67,76.23,3.64,0.9361666
2/4/2019,12.25,74.45,7.23,0.59783334
2/5/2019,6.03,72.47,3.4,3.0579996
2/6/2019,6.59,93.57,3.11,16.669333
2/7/2019,9.94,79.16,4.35,0.98283327
2/8/2019,4.38,65.78,5.97,0.3811666
2/9/2019,1.3,85.79,4.03,0.40266663
2/10/2019,2.65,69.51,5.38,0.30749997
2/11/2019,3.06,82.85,2.82,0.16683336
2/12/2019,4.49,70.97,4.69,0.19766665
2/13/2019,4.33,73.5,3.86,0.16499999
2/14/2019,2.87,69.76,5.35,0.001833333
2/15/2019,3.39,79.59,2.86,2.602333
2/16/2019,6.09,75.06,3.92,0.09616666
2/17/2019,4.63,66.29,4.88,0.000833333
2/18/2019,6.62,66.42,2.95,0.6313333
2/19/2019,9.6,85.44,3.35,4.871833
2/20/2019,12.64,84.54,3.42,0.068166666
2/21/2019,8.6,68.9,4.75,0.14199999
2/22/2019,8.33,78.24,3.12,0.2555
2/23/2019,7.17,68.72,6.58,0.0035
2/24/2019,7.27,68.86,3.04,0.40766668
2/25/2019,12.37,82.49,4.32,0.23233338
2/26/2019,8.79,71.91,4.73,0.12433334
2/27/2019,7.1,71.51,3.08,8.193666
2/28/2019,7.85,94.37,4.77,20.042332
3/1/2019,8.6,77.41,3.27,0.06
3/2/2019,7.5,65.33,3.91,5.711166
3/3/2019,7.71,86.66,3.92,15.264332
3/4/2019,9.06,91.89,7.64,3.9411666
3/5/2019,8.44,74.17,3.97,3.6571667
3/6/2019,10.76,84.44,3.19,14.409667
3/7/2019,8.59,88.95,5.08,8.2235
3/8/2019,6.05,66.37,5.74,0.036000002
3/9/2019,9.03,67.86,4.67,0.047999993
3/10/2019,12.45,78.34,4,57
3/11/2019,11.99,78.99,6.82,0.23933333
3/12/2019,10.23,70.36,3.11,0
3/13/2019,9.7,67.75,5.9,0.06233333
3/14/2019,7.12,61.68,4.08,0.037666667
3/15/2019,8.04,65.9,3.37,0.30649996
3/16/2019,7.34,80.96,3,0.36716667
3/17/2019,7.56,69.07,3.9,0.027166666
3/18/2019,8.04,66.36,3.85,0.15383334
3/19/2019,11.96,73.42,3.76,0.3985
3/20/2019,12.53,72.01,3.84,3.7223334
3/21/2019,15.71,82.78,8.09,0.8809999
3/22/2019,14.68,73.58,5.31,0.14766665
3/23/2019,6.31,70.42,4.66,0.8046666
3/24/2019,7.57,57.34,3.18,0.031499997
3/25/2019,8.78,69.48,4.05,2.851
3/26/2019,10.15,77.56,2.67,2.4636664
3/27/2019,11.62,64.35,5.79,0.0115
3/28/2019,11.47,70.22,5.28,0.36
3/29/2019,7.9,70.4,3.48,0.22933334
3/30/2019,9.7,89.12,2.46,3.1534998
3/31/2019,10.54,72.07,3.78,0.047999993
4/1/2019,8.15,70.22,3.14,0.24016665
4/2/2019,6.95,64.95,4.76,0.017833332
4/3/2019,6.35,63.37,4.78,0.004666667
4/4/2019,9.35,63.43,3.16,0
4/5/2019,13.31,68.37,6.88,0.093333334
4/6/2019,13.51,65.43,2.73,0.14466667
4/7/2019,13.59,68.19,2.64,9.594166
4/8/2019,9.81,76.68,4.24,1.8386668
4/9/2019,9.19,64.68,5.24,15.693833
4/10/2019,7.87,88.52,3.59,7.665834
4/11/2019,9.39,71.17,7.25,0.23549995
