date,t2m_C_mean,rh2m_pct_mean,wind10m_ms_mean,rain_mm_day
1/1/2019,26.86,85.8,3.54,2.075
1/2/2019,27.11,85.37,3.94,0.39975002
1/3/2019,27.48,86.47,4.96,0.14949998
1/4/2019,27.34,85.3,3.6,0.43724996
1/5/2019,27.49,82.72,2.12,3.1212497
1/6/2019,27.07,87.71,3.74,0.20025
1/7/2019,27.33,86.3,4.43,2.25475
1/8/2019,26.99,87.91,3.37,1.8924997
1/9/2019,27.03,87.43,3.87,0.62074995
1/10/2019,27.22,85.32,4.09,4.3825
1/11/2019,26.9,84.08,4.07,0.63525
1/12/2019,26.84,84.32,3.72,0.9254999
1/13/2019,26.8,86.44,3.64,1.416
1/14/2019,26.61,88.03,3.75,2.1215
1/15/2019,26.85,85.52,3.52,1.85075
1/16/2019,26.56,88.42,3.68,0.95299995
1/17/2019,26.29,91.25,3.4,79.024254
1/18/2019,26.17,89.15,4.49,21.242748
1/19/2019,26.48,86.83,4.34,0.23549998
1/20/2019,26.83,86.3,4.67,1.1369998
1/21/2019,26.61,86.76,3.92,3.3462498
1/22/2019,26.23,86.98,3.58,1.7902496
1/23/2019,26.56,86.12,4.95,0.50325
1/24/2019,26.27,82.34,4.9,0.98499995
1/25/2019,25.93,84.03,4.43,0.5134999
1/26/2019,25.99,84.71,4.29,0.64224994
1/27/2019,26.61,87.47,4.19,2.2215
1/28/2019,26.27,89.82,3.83,4.2384996
1/29/2019,26.31,89.48,4.04,2.2825
1/30/2019,26.29,88.13,4.05,0.78199995
1/31/2019,26.18,87.87,3.41,0.42249998
2/1/2019,26.7,86.17,4.09,0.013249999
2/2/2019,26.97,86.04,3.62,0.028750002
2/3/2019,26.95,87.19,3.59,0.77674997
2/4/2019,27.26,84.93,3.74,8.0735
2/5/2019,26.71,83.25,3.58,0
2/6/2019,26.32,82.07,3.78,0.041
2/7/2019,26.47,83.96,3.76,0.60324997
2/8/2019,26.93,83.63,3.11,0.47650003
2/9/2019,27.15,84.66,2.81,0.091000006
2/10/2019,26.91,83.78,3.71,0.049
2/11/2019,25.86,79.85,4.48,0
2/12/2019,26.98,81.65,3.4,0.10300001
2/13/2019,26.84,87.65,4.2,0.68824995
2/14/2019,27.02,83.57,4.53,0.36525
2/15/2019,26.64,81.66,4.37,0.7989999
2/16/2019,26.67,82.95,3.7,0.80625
2/17/2019,26.92,83.8,2.52,30.391499
2/18/2019,27.11,83.01,2.16,4.1435003
2/19/2019,27.17,83.94,2.94,2.168
2/20/2019,27.4,82.31,3.19,0.9692499
2/21/2019,27.16,83.04,3.92,0.01825
2/22/2019,27.4,82.49,3.05,0.03875
2/23/2019,26.89,79.36,3.54,0.00275
2/24/2019,26.84,80.92,3.51,1.10575
2/25/2019,27.15,82.51,3.49,0.15874997
2/26/2019,27.55,83.92,4.41,0.41574997
2/27/2019,27.27,82.79,4.76,0.1105
2/28/2019,27.04,81.35,4.23,0.058
3/1/2019,27.06,80.65,4.5,0
3/2/2019,26.8,78.53,4,0.00675
3/3/2019,26.76,78.88,3.33,0
3/4/2019,26.74,79.05,3.51,0.4
3/5/2019,27.21,78.46,2.97,1.04375
3/6/2019,27.02,83.17,2.84,3.95475
3/7/2019,27.74,80.08,1.93,0.58549994
3/8/2019,27.44,81.84,2.9,0.77374995
3/9/2019,27.75,80.43,2.66,0.42025
3/10/2019,27.74,80.81,2.75,0.55799997
3/11/2019,27.99,78.04,1.24,10.675999
3/12/2019,27.8,78.21,1.89,3.3322499
3/13/2019,27.52,83.84,2.88,0.08974999
3/14/2019,27.36,80.07,3.42,0.10400001
3/15/2019,27.11,76.75,3.34,0
3/16/2019,27.38,79.36,3.45,1.17325
3/17/2019,27.39,76.45,3.43,0.174
3/18/2019,27.42,74.91,3.1,0
3/19/2019,27.54,75.34,3,0
3/20/2019,27.84,79.38,3.29,0
3/21/2019,28.03,80.29,3.29,9.568999
3/22/2019,28.06,79.21,2.4,0.275
3/23/2019,28.39,78.33,1.79,0.42049998
3/24/2019,28.51,77.36,1.41,4.0909996
3/25/2019,27.86,81.51,2.85,3.07975
3/26/2019,27.97,82.74,3.73,0.0135
3/27/2019,28.35,79.09,3.27,0.12149999
3/28/2019,28.04,81.18,1.69,8.507501
3/29/2019,29.14,75.18,1.21,2.9787498
3/30/2019,28.42,79.58,1.02,14.492999
3/31/2019,28.62,76.42,1.01,37.0915
4/1/2019,27.26,81.92,2.35,6.65875
4/2/2019,28.14,77.2,1.45,25.383251
4/3/2019,28.1,78.28,1.23,8.344251
4/4/2019,28.15,81.11,2.87,2.04975
4/5/2019,27.75,77.87,3.44,0.62575
4/6/2019,27.45,76.21,3.02,0.030749997
4/7/2019,28.23,74.23,2.51,0
4/8/2019,28.25,79.47,2.94,0.02375
4/9/2019,28.45,78.72,2.67,0.6657499
4/10/2019,28.84,78.84,1.43,3.0532503
4/11/2019,28.87,76.87,1.32,11.024249
4/12/2019,28.39,79.35,2.03,0.8922499
4/13/2019,28.33,80.51,2.17,0.577
4/14/2019,28.2,83.14,2.4,4.59975
4/15/2019,28.99,77.32,2.02,0.08674999
4/16/2019,29.11,75.29,2.08,0.007999999
4/17/2019,28.95,75.99,2.19,0.12025
4/18/2019,29.32,73.24,1.64,0.15849999
4/19/2019,29.38,77.74,1.46,6.5752497
4/20/2019,28.85,82.43,1.48,12.384
4/21/2019,29.34,77.41,2.11,1.584
4/22/2019,28.64,81.61,2.23,3.2505002
4/23/2019,29.04,79.39,1.85,24.118748
4/24/2019,28.63,79.65,1.59,7.2037497
4/25/2019,29.62,75.16,1.37,10.756499
4/26/2019,28.49,83.49,1.23,70.24576
4/27/2019,27.63,84,2.41,5.00025
4/28/2019,29.41,72.1,1.85,1.0257499
4/29/2019,28.99,81.39,2.42,11.115249
4/30/2019,29.33,78.55,1.55,7.9302497
5/1/2019,29.3,77.13,1.87,0.05525
5/2/2019,29.53,75.95,1.39,6.8925004
5/3/2019,29.67,75.71,1.29,0.3545
5/4/2019,29.09,79.52,1.42,10.9455
5/5/2019,28.31,82.49,2.8,2.43675
5/6/2019,28.53,77.23,3.5,0.3855
5/7/2019,29.1,77.24,2.65,23.8695
5/8/2019,28.61,82.96,2.4,24.198498
5/9/2019,28.51,82.44,2.57,8.98375
5/10/2019,28.76,79.6,2.18,1.8767498
5/11/2019,29.38,75.26,1.35,12.422998
5/12/2019,29.49,73.58,1.31,1.1055
5/13/2019,28.7,80,2,7.5314994
5/14/2019,28.36,84.37,2.65,19.905499
5/15/2019,28.88,79.16,2.26,1.401
5/16/2019,28.38,79.04,2.35,8.09775
5/17/2019,27.83,81.9,2.47,1.6877501
