date,t2m_C_mean,rh2m_pct_mean,wind10m_ms_mean,rain_mm_day
1/1/2019,-5.08,75.76,5.03,0
1/2/2019,-5.89,72.36,4.05,0
1/3/2019,-4.12,64.11,2.36,0.003888889
1/4/2019,-1.47,79.64,2.36,0.020694444
1/5/2019,-4.3,64.1,4.95,0.003333333
1/6/2019,-3.34,68.14,2.12,0
1/7/2019,-2.53,75.89,3.29,0.050972223
1/8/2019,-4.18,61.25,6.42,0
1/9/2019,-6.19,60.38,1.77,0.023888888
1/10/2019,-1.69,81.57,3.21,0.062222224
1/11/2019,0.16,76.52,1.69,0.000833333
1/12/2019,1.58,67.52,1.86,0
1/13/2019,0.31,69.82,1.82,0
1/14/2019,0.76,85.74,1.55,0.17777778
1/15/2019,-1.92,75.82,6.31,0.028749999
1/16/2019,-5.78,75.62,4.35,0.13597222
1/17/2019,-1.72,75.38,4.19,0
1/18/2019,-0.28,68.37,2.07,0.04486111
1/19/2019,2.02,80.53,2.72,0.033888888
1/20/2019,-1.71,61.76,7.44,0.000555556
1/21/2019,-1.01,78.28,5.58,0.008055556
1/22/2019,0.99,84.24,3.72,0.002361111
1/23/2019,0.66,76.35,4.69,0.000694444
1/24/2019,-1.55,72.13,2.6,0.015694443
1/25/2019,-2.06,66.81,6.3,0.009583334
1/26/2019,-4.26,69.21,5.09,0
1/27/2019,-1.05,72.2,3.41,0.10930555
1/28/2019,-0.17,66.38,6.1,0.003472222
1/29/2019,-1.21,60.94,1.9,0.042083327
1/30/2019,1.17,68.62,2.6,0.08194444
1/31/2019,-2.85,55.87,6.19,0.050555553
2/1/2019,-2.96,68.69,4.38,0.003194444
2/2/2019,0.69,80.97,4.17,9.7595825
2/3/2019,1.94,93.03,5.51,7.275278
2/4/2019,-1.51,59.42,4.29,0.04458333
2/5/2019,1.14,62.43,3.46,0.046527777
2/6/2019,3.5,76.76,2.79,1.2631944
2/7/2019,-3.13,58.55,8.45,0.5313889
2/8/2019,-6.44,53.67,4.49,0.62986106
2/9/2019,-5.9,60,6.1,0.012638888
2/10/2019,-6.22,61.83,2.55,0.38819444
2/11/2019,-3.94,63.45,4.48,0.014166666
2/12/2019,-1.53,63.25,2.94,0
2/13/2019,-3.52,59.78,4.79,0.24638888
2/14/2019,-1.61,56.03,1.79,0.21555555
2/15/2019,-0.94,77.91,4.12,0.08472222
2/16/2019,-2.58,69.18,5.47,0
2/17/2019,-2.58,66.63,4.15,0
2/18/2019,-0.44,66.09,1.46,12.336944
2/19/2019,0.44,87.14,3.1,2.4926386
2/20/2019,0.47,81.79,4.32,0.38250002
2/21/2019,0.84,78.67,1.59,0.24249999
2/22/2019,1.87,70.23,1.97,0.03722222
2/23/2019,4.43,60.8,2.68,0
2/24/2019,2.81,79.51,3.46,0.001944444
2/25/2019,2.25,74.64,3.11,0
2/26/2019,2.66,66.42,2.26,0.70486104
2/27/2019,4.8,68.9,3.22,0.035416666
2/28/2019,4.29,64.31,2.6,0.018055556
3/1/2019,3.63,67.54,2.67,0
3/2/2019,5.72,57.42,1.82,0.14444444
3/3/2019,6.19,65.89,2.53,0.1136111
3/4/2019,6.32,71.52,2.17,0.006666666
3/5/2019,4.42,87.66,3.43,0.2575
3/6/2019,5.21,80.63,3.46,0.37347218
3/7/2019,4.05,76.06,3.61,0
3/8/2019,2.92,74.03,2.61,0.059444446
3/9/2019,4.27,62.27,2.45,0.73638886
3/10/2019,5.23,66.09,3.49,0.45944446
3/11/2019,3.9,91.59,2.82,0.43791664
3/12/2019,2.55,74.04,6,0.29555553
3/13/2019,1.96,59.9,7.02,0.06263889
