date,t2m_C_mean,rh2m_pct_mean,wind10m_ms_mean,rain_mm_day
1/1/2019,3.43,65.23,2.35,0.44637498
1/2/2019,2.96,47.24,2.45,0
1/3/2019,5.01,46.52,2.25,0
1/4/2019,8.86,44.94,3.41,0
1/5/2019,10.53,50.34,2.9,0.6095
1/6/2019,9.53,86.5,1.53,19.130749
1/7/2019,9.34,71.11,2.4,0
1/8/2019,12.36,50.17,3.39,0.002
1/9/2019,14.21,46.05,3.86,0.057749998
1/10/2019,14.44,59.37,2.48,0.29924998
1/11/2019,11.92,62.14,1.92,0.001875
1/12/2019,11.63,48.06,4.26,0.024249999
1/13/2019,11.03,70.2,1.76,1.5001249
1/14/2019,14.05,59.35,2.63,0.54487497
1/15/2019,12.51,76.37,2.73,3.9759998
1/16/2019,13.82,75.78,1.33,0.223875
1/17/2019,13.35,64.8,2.38,0.003625
1/18/2019,13.78,60.08,2.94,0.44837505
1/19/2019,12.12,38.32,3.12,0.001625
1/20/2019,15.16,31.94,3.06,0
1/21/2019,11.28,45.92,4.49,0.104125
1/22/2019,9,42.96,3.19,0.001
1/23/2019,8.27,34.07,2.56,0.0005
1/24/2019,10.73,34.52,2.4,0
1/25/2019,10.66,36.01,3.29,0
1/26/2019,11.32,36.16,3.18,0.001
1/27/2019,12.59,37.76,2.68,0
1/28/2019,13.49,40.41,2.86,0
1/29/2019,14.32,36.42,3.03,0.15274999
1/30/2019,15.45,35.62,2.35,0.30275
1/31/2019,15.39,38.73,2.2,0.053625
2/1/2019,16.18,46.48,1.62,0.04375
2/2/2019,15.38,60.58,2.41,0.9776251
2/3/2019,12.86,82.56,2.44,11.82
2/4/2019,12.17,70.25,3.27,0.09950001
2/5/2019,11.37,75.09,4.11,0.20025
2/6/2019,7.26,59.12,4.29,0.19399998
2/7/2019,5.64,38.03,2.26,0
2/8/2019,9.07,34.2,3.28,0
2/9/2019,8.75,47.04,3.19,0.12725
2/10/2019,9.58,46.9,2.97,0.033249997
2/11/2019,7.61,49.28,2.59,0
2/12/2019,9.97,31.9,3.4,0
2/13/2019,13.68,31.71,3.21,0.684
2/14/2019,13.79,66.03,2.95,11.105749
2/15/2019,13.54,70.09,2.19,5.603875
2/16/2019,10.01,58.72,3.87,0.21874997
2/17/2019,8.2,51.28,3.35,0
2/18/2019,7.56,60.69,2.48,0.52225
2/19/2019,5.42,49.67,2.56,0
2/20/2019,6.5,37.36,2.01,0
2/21/2019,6.19,83.47,4.88,9.140375
2/22/2019,4.31,83.23,3.2,10.717626
2/23/2019,4.12,62.87,2.61,0.23550001
2/24/2019,7.15,55.21,3.39,0.001375
2/25/2019,9.79,51.97,2.15,0
2/26/2019,13.58,43.71,2.32,0.0125
2/27/2019,16.44,37.37,1.78,0.143125
2/28/2019,16.39,40.04,1.96,0
3/1/2019,17.53,48.31,1.95,0.013624999
3/2/2019,17.74,54.18,3.21,0.085
3/3/2019,15.51,68.96,2.85,0
3/4/2019,15.64,56.42,1.85,0.117125
